x,y,z,t
0.936505,2.91971,10.599,4.19
0.801318,2.93491,10.0961,4.2
0.671008,2.9488,9.60352,4.21
0.545485,2.96141,9.12256,4.22
0.424645,2.97278,8.65434,4.23
0.308374,2.98298,8.19979,4.24
0.196546,2.99202,7.75969,4.25
0.0890288,2.99997,7.33464,4.26
-0.0143174,3.00686,6.9251,4.27
-0.113637,3.01274,6.53137,4.28
-0.209078,3.01762,6.15366,4.29
-0.300791,3.02157,5.79204,4.3
-0.388927,3.0246,5.44647,4.31
-0.473638,3.02676,5.11684,4.32
-0.555074,3.02808,4.80294,4.33
-0.633384,3.02859,4.50452,4.34
-0.708715,3.02831,4.22123,4.35
-0.78121,3.02728,3.9527,4.36
-0.85101,3.02552,3.69852,4.37
-0.918251,3.02306,3.45823,4.38
-0.983064,3.01993,3.23135,4.39
-1.04558,3.01614,3.0174,4.4
-1.10591,3.01171,2.81586,4.41
-1.16419,3.00668,2.62621,4.42
-1.22052,3.00105,2.44795,4.43
-1.27501,2.99484,2.28054,4.44
-1.32776,2.98808,2.12347,4.45
-1.37888,2.98078,1.97624,4.46
-1.42845,2.97296,1.83834,4.47
-1.47656,2.96462,1.7093,4.48
-1.5233,2.95578,1.58863,4.49
-1.56874,2.94646,1.47588,4.5
-1.61297,2.93666,1.3706,4.51
-1.65604,2.92641,1.27237,4.52
-1.69803,2.9157,1.18077,4.53
-1.73899,2.90455,1.09542,4.54
-1.77899,2.89297,1.01593,4.55
-1.81808,2.88097,0.941948,4.56
-1.85631,2.86855,0.873132,4.57
-1.89373,2.85572,0.809155,4.58
-1.93037,2.8425,0.74971,4.59
-1.9663,2.82888,0.694504,4.6
-2.00153,2.81487,0.643262,4.61
-2.03611,2.80049,0.595721,4.62
-2.07007,2.78573,0.551635,4.63
-2.10345,2.7706,0.510773,4.64
-2.13626,2.7551,0.472915,4.65
-2.16854,2.73925,0.437856,4.66
-2.20031,2.72305,0.405403,4.67
-2.2316,2.70649,0.375375,4.68
-2.26241,2.68959,0.347602,4.69
-2.29279,2.67234,0.321924,4.7
-2.32273,2.65476,0.298193,4.71
-2.35226,2.63684,0.27627,4.72
-2.38139,2.61859,0.256024,4.73
-2.41014,2.60001,0.237334,4.74
-2.43851,2.58111,0.220086,4.75
-2.46652,2.56189,0.204174,4.76
-2.49418,2.54235,0.1895,4.77
-2.5215,2.52249,0.175972,4.78
-2.54849,2.50232,0.163505,4.79
-2.57514,2.48184,0.152018,4.8
-2.60148,2.46105,0.141438,4.81
-2.62751,2.43996,0.131697,4.82
-2.65322,2.41856,0.12273,4.83
-2.67864,2.39687,0.114478,4.84
-2.70375,2.37488,0.106886,4.85
-2.72857,2.35259,0.0999037,4.86
-2.75309,2.33001,0.0934833,4.87
-2.77733,2.30714,0.087581,4.88
-2.80127,2.28398,0.0821565,4.89
-2.82494,2.26053,0.0771722,4.9
-2.84831,2.23681,0.0725933,4.91
-2.87141,2.2128,0.0683878,4.92
-2.89422,2.18851,0.064526,4.93
-2.91675,2.16394,0.0609805,4.94
-2.939,2.1391,0.0577259,4.95
-2.96097,2.11399,0.054739,4.96
-2.98265,2.08861,0.0519981,4.97
-3.00406,2.06296,0.0494833,4.98
-3.02518,2.03705,0.0471762,4.99
