x,y,z,t
0.180939,0.197876,0.0364672,6.22
0.178585,0.200072,0.0364544,6.23
0.176209,0.202248,0.0364416,6.24
0.173811,0.204405,0.0364285,6.25
0.171392,0.206542,0.0364153,6.26
0.168952,0.208659,0.036402,6.27
0.166491,0.210755,0.0363885,6.28
0.164009,0.212831,0.0363749,6.29
0.161507,0.214887,0.0363611,6.3
0.158984,0.216921,0.0363472,6.31
0.156442,0.218934,0.0363331,6.32
0.153879,0.220925,0.0363189,6.33
0.151297,0.222895,0.0363045,6.34
0.148695,0.224843,0.03629,6.35
0.146074,0.226768,0.0362754,6.36
0.143434,0.228671,0.0362606,6.37
0.140776,0.230552,0.0362457,6.38
0.138098,0.232409,0.0362306,6.39
0.135403,0.234243,0.0362155,6.4
0.132689,0.236054,0.0362002,6.41
0.129958,0.237841,0.0361847,6.42
0.127209,0.239604,0.0361691,6.43
0.124443,0.241344,0.0361535,6.44
0.121659,0.243058,0.0361376,6.45
0.118859,0.244749,0.0361217,6.46
0.116042,0.246415,0.0361056,6.47
0.113208,0.248055,0.0360894,6.48
0.110359,0.249671,0.0360731,6.49
0.107494,0.251261,0.0360567,6.5
